mV,mV,no units,yyyy/mm/dd hh:mm:ss.000
4.07124546,-1.994079409,128,36:00.9
4.083554593,-1.994079409,128,36:00.9
4.083554593,-1.994079409,128,36:00.9
4.07124546,-1.98484756,128,36:00.9
4.07124546,-1.98484756,128,36:00.9
4.07124546,-1.975615711,128,36:00.9
4.07124546,-1.975615711,128,36:00.9
4.074322743,-1.987924843,128,36:00.9
4.074322743,-1.987924843,128,36:00.9
4.074322743,-2.009465824,128,36:00.9
4.074322743,-2.009465824,128,36:00.9
4.083554593,-2.006388541,128,36:00.9
4.083554593,-2.006388541,128,36:00.9
4.074322743,-1.98484756,128,36:00.9
4.074322743,-1.98484756,128,36:00.9
4.052781762,-1.975615711,128,36:00.9
4.052781762,-1.975615711,128,36:00.9
4.058936328,-1.978692994,128,36:00.9
4.058936328,-1.978692994,128,36:00.9
4.065090894,-1.972538428,128,36:00.9
4.065090894,-1.972538428,128,36:00.9
4.07124546,-1.972538428,128,36:00.9
4.07124546,-1.972538428,128,36:00.9
4.077400026,-1.975615711,128,36:00.9
4.077400026,-1.975615711,128,36:00.9
4.07124546,-1.975615711,128,36:00.9
4.07124546,-1.975615711,128,36:01.0
4.07124546,-1.975615711,128,36:01.0
4.058936328,-1.978692994,128,36:01.0
4.058936328,-1.978692994,128,36:01.0
4.07124546,-1.991002126,128,36:01.0
4.07124546,-1.991002126,128,36:01.0
4.07124546,-2.000233975,128,36:01.0
4.07124546,-2.000233975,128,36:01.0
4.089709159,-1.991002126,128,36:01.0
4.089709159,-1.991002126,128,36:01.0
4.092786442,-1.975615711,128,36:01.0
4.092786442,-1.975615711,128,36:01.0
4.052781762,-1.969461145,128,36:01.0
4.052781762,-1.969461145,128,36:01.0
4.065090894,-1.978692994,128,36:01.0
4.065090894,-1.978692994,128,36:01.0
4.07124546,-1.987924843,128,36:01.0
4.07124546,-1.987924843,128,36:01.0
4.07124546,-2.009465824,128,36:01.0
4.07124546,-2.009465824,128,36:01.0
4.068168177,-2.018697673,128,36:01.0
4.068168177,-2.018697673,128,36:01.0
4.062013611,-1.987924843,128,36:01.0
4.062013611,-1.987924843,128,36:01.0
4.068168177,-1.960229296,128,36:01.0
4.068168177,-1.960229296,128,36:01.0
4.074322743,-1.963306579,128,36:01.0
4.074322743,-1.963306579,128,36:01.0
4.080477309,-1.969461145,128,36:01.0
4.080477309,-1.969461145,128,36:01.0
4.07124546,-1.969461145,128,36:01.0
4.07124546,-1.969461145,128,36:01.0
4.055859045,-1.975615711,128,36:01.0
4.055859045,-1.975615711,128,36:01.0
4.058936328,-1.981770277,128,36:01.0
4.058936328,-1.981770277,128,36:01.0
4.07124546,-2.000233975,128,36:01.0
4.07124546,-2.000233975,128,36:01.0
4.068168177,-1.991002126,128,36:01.0
4.068168177,-1.991002126,128,36:01.0
4.068168177,-1.991002126,128,36:01.0
4.065090894,-1.966383862,128,36:01.0
4.065090894,-1.966383862,128,36:01.0
4.074322743,-1.966383862,128,36:01.0
4.074322743,-1.966383862,128,36:01.0
4.077400026,-1.972538428,128,36:01.0
4.077400026,-1.972538428,128,36:01.0
4.089709159,-1.978692994,128,36:01.0
4.089709159,-1.978692994,128,36:01.0
4.074322743,-1.981770277,128,36:01.0
4.074322743,-1.981770277,128,36:01.0
4.062013611,-1.98484756,128,36:01.1
4.062013611,-1.98484756,128,36:01.1
4.07124546,-1.987924843,128,36:01.1
4.07124546,-1.987924843,128,36:01.1
4.074322743,-1.978692994,128,36:01.1
4.074322743,-1.978692994,128,36:01.1
4.074322743,-1.969461145,128,36:01.1
4.074322743,-1.969461145,128,36:01.1
4.074322743,-1.972538428,128,36:01.1
4.074322743,-1.972538428,128,36:01.1
4.07124546,-1.975615711,128,36:01.1
4.07124546,-1.975615711,128,36:01.1
4.074322743,-1.978692994,128,36:01.1
4.074322743,-1.978692994,128,36:01.1
4.07124546,-1.987924843,128,36:01.1
4.07124546,-1.987924843,128,36:01.1
4.068168177,-1.991002126,128,36:01.1
4.068168177,-1.991002126,128,36:01.1
4.065090894,-1.994079409,128,36:01.1
4.065090894,-1.994079409,128,36:01.1
4.068168177,-1.987924843,128,36:01.1
4.068168177,-1.987924843,128,36:01.1
4.089709159,-1.978692994,128,36:01.1
4.089709159,-1.978692994,128,36:01.1
4.077400026,-1.978692994,128,36:01.1
4.077400026,-1.978692994,128,36:01.1
4.068168177,-1.987924843,128,36:01.1
4.068168177,-1.987924843,128,36:01.1
4.068168177,-1.987924843,128,36:01.1
4.058936328,-2.003311258,128,36:01.1
4.058936328,-2.003311258,128,36:01.1
4.077400026,-2.003311258,128,36:01.1
4.077400026,-2.003311258,128,36:01.1
4.068168177,-1.991002126,128,36:01.1
4.068168177,-1.991002126,128,36:01.1
4.062013611,-1.975615711,128,36:01.1
4.062013611,-1.975615711,128,36:01.1
4.07124546,-1.966383862,128,36:01.1
4.07124546,-1.966383862,128,36:01.1
4.068168177,-1.966383862,128,36:01.1
4.068168177,-1.966383862,128,36:01.1
4.065090894,-1.978692994,128,36:01.1
4.065090894,-1.978692994,128,36:01.1
4.068168177,-1.987924843,128,36:01.1
4.068168177,-1.987924843,128,36:01.1
4.07124546,-1.978692994,128,36:01.1
4.07124546,-1.978692994,128,36:01.1
4.074322743,-1.975615711,128,36:01.1
4.074322743,-1.975615711,128,36:01.1
4.074322743,-1.972538428,128,36:01.1
4.074322743,-1.972538428,128,36:01.1
4.074322743,-1.975615711,128,36:01.2
4.074322743,-1.975615711,128,36:01.2
4.083554593,-1.978692994,128,36:01.2
4.083554593,-1.978692994,128,36:01.2
4.077400026,-1.981770277,128,36:01.2
4.077400026,-1.981770277,128,36:01.2
4.074322743,-1.98484756,128,36:01.2
4.074322743,-1.98484756,128,36:01.2
4.065090894,-1.987924843,128,36:01.2
4.065090894,-1.987924843,128,36:01.2
4.062013611,-1.978692994,128,36:01.2
4.062013611,-1.978692994,128,36:01.2
4.07124546,-1.975615711,128,36:01.2
4.07124546,-1.975615711,128,36:01.2
4.080477309,-1.994079409,128,36:01.2
4.080477309,-1.994079409,128,36:01.2
4.074322743,-2.003311258,128,36:01.2
4.074322743,-2.003311258,128,36:01.2
4.074322743,-2.003311258,128,36:01.2
4.068168177,-1.994079409,128,36:01.2
4.068168177,-1.994079409,128,36:01.2
4.055859045,-1.98484756,128,36:01.2
4.055859045,-1.98484756,128,36:01.2
4.055859045,-1.978692994,128,36:01.2
4.055859045,-1.978692994,128,36:01.2
4.074322743,-1.975615711,128,36:01.2
4.074322743,-1.975615711,128,36:01.2
4.080477309,-1.978692994,128,36:01.2
4.080477309,-1.978692994,128,36:01.2
4.07124546,-1.991002126,128,36:01.2
4.07124546,-1.991002126,128,36:01.2
4.065090894,-2.003311258,128,36:01.2
4.065090894,-2.003311258,128,36:01.2
4.065090894,-1.987924843,128,36:01.2
4.065090894,-1.987924843,128,36:01.2
4.07124546,-1.981770277,128,36:01.2
4.07124546,-1.981770277,128,36:01.2
4.077400026,-1.98484756,128,36:01.2
4.077400026,-1.98484756,128,36:01.2
4.074322743,-1.98484756,128,36:01.2
4.074322743,-1.98484756,128,36:01.2
4.074322743,-1.98484756,128,36:01.2
4.074322743,-1.98484756,128,36:01.2
4.065090894,-1.98484756,128,36:01.2
4.065090894,-1.98484756,128,36:01.2
4.068168177,-1.98484756,128,36:01.2
4.068168177,-1.98484756,128,36:01.2
4.074322743,-1.98484756,128,36:01.2
4.074322743,-1.98484756,128,36:01.2
4.068168177,-1.98484756,128,36:01.2
4.068168177,-1.98484756,128,36:01.2
4.062013611,-1.98484756,128,36:01.2
4.062013611,-1.98484756,128,36:01.3
4.077400026,-1.994079409,128,36:01.3
4.077400026,-1.994079409,128,36:01.3
4.083554593,-2.006388541,128,36:01.3
4.083554593,-2.006388541,128,36:01.3
4.083554593,-2.006388541,128,36:01.3
4.077400026,-2.003311258,128,36:01.3
4.077400026,-2.003311258,128,36:01.3
4.058936328,-1.991002126,128,36:01.3
4.058936328,-1.991002126,128,36:01.3
4.062013611,-1.991002126,128,36:01.3
4.062013611,-1.991002126,128,36:01.3
4.074322743,-1.987924843,128,36:01.3
4.074322743,-1.987924843,128,36:01.3
4.077400026,-1.98484756,128,36:01.3
4.077400026,-1.98484756,128,36:01.3
4.065090894,-1.997156692,128,36:01.3
4.065090894,-1.997156692,128,36:01.3
4.068168177,-2.003311258,128,36:01.3
4.068168177,-2.003311258,128,36:01.3
4.077400026,-2.012543107,128,36:01.3
4.077400026,-2.012543107,128,36:01.3
4.07124546,-2.012543107,128,36:01.3
4.07124546,-2.012543107,128,36:01.3
4.077400026,-1.994079409,128,36:01.3
4.077400026,-1.994079409,128,36:01.3
4.068168177,-1.997156692,128,36:01.3
4.068168177,-1.997156692,128,36:01.3
4.065090894,-2.021774957,128,36:01.3
4.065090894,-2.021774957,128,36:01.3
4.062013611,-2.027929523,128,36:01.3
4.062013611,-2.027929523,128,36:01.3
4.068168177,-2.000233975,128,36:01.3
4.068168177,-2.000233975,128,36:01.3
4.07124546,-1.987924843,128,36:01.3
4.07124546,-1.987924843,128,36:01.3
4.074322743,-1.994079409,128,36:01.3
4.074322743,-1.994079409,128,36:01.3
4.074322743,-1.991002126,128,36:01.3
4.074322743,-1.991002126,128,36:01.3
4.062013611,-1.987924843,128,36:01.3
4.062013611,-1.987924843,128,36:01.3
4.065090894,-1.997156692,128,36:01.3
4.065090894,-1.997156692,128,36:01.3
4.065090894,-1.997156692,128,36:01.3
4.068168177,-2.006388541,128,36:01.3
4.068168177,-2.006388541,128,36:01.3
4.07124546,-2.009465824,128,36:01.3
4.07124546,-2.009465824,128,36:01.3
4.077400026,-2.003311258,128,36:01.3
4.077400026,-2.003311258,128,36:01.3
4.07124546,-2.003311258,128,36:01.4
4.07124546,-2.003311258,128,36:01.4
4.062013611,-2.003311258,128,36:01.4
4.062013611,-2.003311258,128,36:01.4
4.062013611,-2.006388541,128,36:01.4
4.062013611,-2.006388541,128,36:01.4
4.074322743,-2.009465824,128,36:01.4
4.074322743,-2.009465824,128,36:01.4
4.080477309,-2.006388541,128,36:01.4
4.080477309,-2.006388541,128,36:01.4
4.065090894,-2.006388541,128,36:01.4
4.065090894,-2.006388541,128,36:01.4
4.065090894,-2.009465824,128,36:01.4
4.065090894,-2.009465824,128,36:01.4
4.07124546,-2.012543107,128,36:01.4
4.07124546,-2.012543107,128,36:01.4
4.074322743,-2.018697673,128,36:01.4
4.074322743,-2.018697673,128,36:01.4
4.07124546,-2.02485224,128,36:01.4
4.07124546,-2.02485224,128,36:01.4
4.065090894,-2.02485224,128,36:01.4
4.065090894,-2.02485224,128,36:01.4
4.080477309,-2.031006806,128,36:01.4
4.080477309,-2.031006806,128,36:01.4
4.083554593,-2.021774957,128,36:01.4
4.083554593,-2.021774957,128,36:01.4
4.089709159,-2.006388541,128,36:01.4
4.089709159,-2.006388541,128,36:01.4
4.062013611,-2.01562039,128,36:01.4
4.062013611,-2.01562039,128,36:01.4
4.058936328,-2.034084089,128,36:01.4
4.058936328,-2.034084089,128,36:01.4
4.062013611,-2.037161372,128,36:01.4
4.062013611,-2.037161372,128,36:01.4
4.062013611,-2.037161372,128,36:01.4
4.074322743,-2.01562039,128,36:01.4
4.074322743,-2.01562039,128,36:01.4
4.080477309,-2.003311258,128,36:01.4
4.080477309,-2.003311258,128,36:01.4
4.080477309,-2.009465824,128,36:01.4
4.080477309,-2.009465824,128,36:01.4
4.068168177,-2.018697673,128,36:01.4
4.068168177,-2.018697673,128,36:01.4
4.068168177,-2.012543107,128,36:01.4
4.068168177,-2.012543107,128,36:01.4
4.068168177,-2.012543107,128,36:01.4
4.068168177,-2.012543107,128,36:01.4
4.068168177,-2.009465824,128,36:01.4
4.068168177,-2.009465824,128,36:01.4
4.077400026,-2.009465824,128,36:01.4
4.077400026,-2.009465824,128,36:01.4
4.086631876,-2.009465824,128,36:01.5
4.086631876,-2.009465824,128,36:01.5
4.065090894,-2.012543107,128,36:01.5
4.065090894,-2.012543107,128,36:01.5
4.065090894,-2.012543107,128,36:01.5
4.065090894,-2.012543107,128,36:01.5
4.092786442,-2.021774957,128,36:01.5
4.092786442,-2.021774957,128,36:01.5
4.055859045,-2.021774957,128,36:01.5
4.055859045,-2.021774957,128,36:01.5
4.055859045,-2.018697673,128,36:01.5
4.055859045,-2.018697673,128,36:01.5
4.065090894,-2.021774957,128,36:01.5
4.065090894,-2.021774957,128,36:01.5
4.07124546,-2.021774957,128,36:01.5
4.07124546,-2.021774957,128,36:01.5
4.074322743,-2.021774957,128,36:01.5
4.074322743,-2.021774957,128,36:01.5
4.074322743,-2.021774957,128,36:01.5
4.074322743,-2.021774957,128,36:01.5
4.07124546,-2.02485224,128,36:01.5
4.07124546,-2.02485224,128,36:01.5
4.07124546,-2.02485224,128,36:01.5
4.07124546,-2.021774957,128,36:01.5
4.07124546,-2.021774957,128,36:01.5
4.074322743,-2.021774957,128,36:01.5
4.074322743,-2.021774957,128,36:01.5
4.086631876,-2.02485224,128,36:01.5
4.086631876,-2.02485224,128,36:01.5
4.089709159,-2.021774957,128,36:01.5
4.089709159,-2.021774957,128,36:01.5
4.074322743,-2.01562039,128,36:01.5
4.074322743,-2.01562039,128,36:01.5
4.055859045,-2.02485224,128,36:01.5
4.055859045,-2.02485224,128,36:01.5
4.068168177,-2.040238655,128,36:01.5
4.068168177,-2.040238655,128,36:01.5
4.074322743,-2.01562039,128,36:01.5
4.074322743,-2.01562039,128,36:01.5
4.07124546,-2.009465824,128,36:01.5
4.07124546,-2.009465824,128,36:01.5
4.068168177,-2.01562039,128,36:01.5
4.068168177,-2.01562039,128,36:01.5
4.068168177,-2.018697673,128,36:01.5
4.068168177,-2.018697673,128,36:01.5
4.07124546,-2.02485224,128,36:01.5
4.07124546,-2.02485224,128,36:01.5
4.086631876,-2.018697673,128,36:01.5
4.086631876,-2.018697673,128,36:01.5
4.086631876,-2.009465824,128,36:01.5
4.086631876,-2.009465824,128,36:01.5
4.065090894,-2.003311258,128,36:01.6
4.065090894,-2.003311258,128,36:01.6
4.068168177,-2.009465824,128,36:01.6
4.068168177,-2.009465824,128,36:01.6
4.07124546,-2.018697673,128,36:01.6
4.07124546,-2.018697673,128,36:01.6
4.080477309,-2.021774957,128,36:01.6
4.080477309,-2.021774957,128,36:01.6
4.077400026,-2.021774957,128,36:01.6
4.077400026,-2.021774957,128,36:01.6
4.077400026,-2.021774957,128,36:01.6
4.074322743,-2.012543107,128,36:01.6
4.074322743,-2.012543107,128,36:01.6
4.077400026,-2.01562039,128,36:01.6
4.077400026,-2.01562039,128,36:01.6
4.068168177,-2.018697673,128,36:01.6
4.068168177,-2.018697673,128,36:01.6
4.068168177,-2.01562039,128,36:01.6
4.068168177,-2.01562039,128,36:01.6
4.068168177,-2.018697673,128,36:01.6
4.068168177,-2.018697673,128,36:01.6
4.068168177,-2.018697673,128,36:01.6
4.068168177,-2.018697673,128,36:01.6
4.068168177,-2.01562039,128,36:01.6
4.068168177,-2.01562039,128,36:01.6
4.074322743,-2.02485224,128,36:01.6
4.074322743,-2.02485224,128,36:01.6
4.077400026,-2.018697673,128,36:01.6
4.077400026,-2.018697673,128,36:01.6
4.07124546,-2.012543107,128,36:01.6
4.07124546,-2.012543107,128,36:01.6
4.07124546,-2.012543107,128,36:01.6
4.07124546,-2.012543107,128,36:01.6
4.083554593,-2.021774957,128,36:01.6
4.083554593,-2.021774957,128,36:01.6
4.102018291,-2.031006806,128,36:01.6
4.102018291,-2.031006806,128,36:01.6
4.074322743,-2.018697673,128,36:01.6
4.074322743,-2.018697673,128,36:01.6
4.058936328,-2.012543107,128,36:01.6
4.058936328,-2.012543107,128,36:01.6
4.068168177,-2.018697673,128,36:01.6
4.068168177,-2.018697673,128,36:01.6
4.07124546,-2.018697673,128,36:01.6
4.07124546,-2.018697673,128,36:01.6
4.083554593,-2.01562039,128,36:01.6
4.083554593,-2.01562039,128,36:01.6
4.074322743,-2.012543107,128,36:01.6
4.074322743,-2.012543107,128,36:01.6
4.074322743,-2.012543107,128,36:01.6
4.068168177,-2.018697673,128,36:01.6
4.068168177,-2.018697673,128,36:01.7
4.077400026,-2.018697673,128,36:01.7
4.077400026,-2.018697673,128,36:01.7
4.07124546,-2.01562039,128,36:01.7
4.07124546,-2.01562039,128,36:01.7
4.077400026,-2.012543107,128,36:01.7
4.077400026,-2.012543107,128,36:01.7
4.092786442,-2.012543107,128,36:01.7
4.092786442,-2.012543107,128,36:01.7
4.077400026,-2.01562039,128,36:01.7
4.077400026,-2.01562039,128,36:01.7
4.065090894,-2.009465824,128,36:01.7
4.065090894,-2.009465824,128,36:01.7
4.068168177,-2.009465824,128,36:01.7
4.068168177,-2.009465824,128,36:01.7
4.074322743,-2.01562039,128,36:01.7
4.074322743,-2.01562039,128,36:01.7
4.080477309,-2.02485224,128,36:01.7
4.080477309,-2.02485224,128,36:01.7
4.077400026,-2.021774957,128,36:01.7
4.077400026,-2.021774957,128,36:01.7
4.074322743,-2.021774957,128,36:01.7
4.074322743,-2.021774957,128,36:01.7
4.086631876,-2.027929523,128,36:01.7
4.086631876,-2.027929523,128,36:01.7
4.077400026,-2.021774957,128,36:01.7
4.077400026,-2.021774957,128,36:01.7
4.077400026,-2.018697673,128,36:01.7
4.077400026,-2.018697673,128,36:01.7
4.074322743,-2.018697673,128,36:01.7
4.074322743,-2.018697673,128,36:01.7
4.068168177,-2.01562039,128,36:01.7
4.068168177,-2.01562039,128,36:01.7
4.068168177,-2.01562039,128,36:01.7
4.068168177,-2.01562039,128,36:01.7
4.092786442,-2.02485224,128,36:01.7
4.092786442,-2.02485224,128,36:01.7
4.123559272,-2.040238655,128,36:01.7
4.123559272,-2.040238655,128,36:01.7
4.123559272,-2.040238655,128,36:01.7
4.083554593,-2.05562507,128,36:01.7
4.083554593,-2.05562507,128,36:01.7
4.046627196,-2.052547787,128,36:01.7
4.046627196,-2.052547787,128,36:01.7
4.052781762,-2.031006806,128,36:01.7
4.052781762,-2.031006806,128,36:01.7
4.065090894,-2.01562039,128,36:01.7
4.065090894,-2.01562039,128,36:01.7
4.07124546,-2.012543107,128,36:01.7
4.07124546,-2.012543107,128,36:01.7
4.080477309,-2.018697673,128,36:01.7
4.080477309,-2.018697673,128,36:01.7
4.065090894,-2.018697673,128,36:01.8
4.065090894,-2.018697673,128,36:01.8
4.062013611,-2.021774957,128,36:01.8
4.062013611,-2.021774957,128,36:01.8
4.080477309,-2.021774957,128,36:01.8
4.080477309,-2.021774957,128,36:01.8
4.086631876,-2.02485224,128,36:01.8
4.086631876,-2.02485224,128,36:01.8
4.074322743,-2.027929523,128,36:01.8
4.074322743,-2.027929523,128,36:01.8
4.068168177,-2.027929523,128,36:01.8
4.068168177,-2.027929523,128,36:01.8
4.07124546,-2.031006806,128,36:01.8
4.07124546,-2.031006806,128,36:01.8
4.083554593,-2.034084089,128,36:01.8
4.083554593,-2.034084089,128,36:01.8
4.074322743,-2.031006806,128,36:01.8
4.074322743,-2.031006806,128,36:01.8
4.07124546,-2.031006806,128,36:01.8
4.07124546,-2.031006806,128,36:01.8
4.068168177,-2.034084089,128,36:01.8
4.068168177,-2.034084089,128,36:01.8
4.074322743,-2.02485224,128,36:01.8
4.074322743,-2.02485224,128,36:01.8
4.086631876,-2.02485224,128,36:01.8
4.086631876,-2.02485224,128,36:01.8
4.086631876,-2.02485224,128,36:01.8
4.077400026,-2.034084089,128,36:01.8
4.077400026,-2.034084089,128,36:01.8
4.065090894,-2.034084089,128,36:01.8
4.065090894,-2.034084089,128,36:01.8
4.074322743,-2.031006806,128,36:01.8
4.074322743,-2.031006806,128,36:01.8
4.083554593,-2.040238655,128,36:01.8
4.083554593,-2.040238655,128,36:01.8
4.083554593,-2.058702353,128,36:01.8
4.083554593,-2.058702353,128,36:01.8
4.092786442,-2.046393221,128,36:01.8
4.092786442,-2.046393221,128,36:01.8
4.074322743,-2.027929523,128,36:01.8
4.074322743,-2.027929523,128,36:01.8
4.062013611,-2.02485224,128,36:01.8
4.062013611,-2.02485224,128,36:01.8
4.080477309,-2.02485224,128,36:01.8
4.080477309,-2.02485224,128,36:01.8
4.089709159,-2.031006806,128,36:01.8
4.089709159,-2.031006806,128,36:01.8
4.080477309,-2.034084089,128,36:01.8
4.080477309,-2.034084089,128,36:01.8
4.092786442,-2.046393221,128,36:01.8
4.092786442,-2.046393221,128,36:01.8
4.083554593,-2.043315938,128,36:01.9
4.083554593,-2.043315938,128,36:01.9
4.052781762,-2.027929523,128,36:01.9
4.052781762,-2.027929523,128,36:01.9
4.07124546,-2.027929523,128,36:01.9
4.07124546,-2.027929523,128,36:01.9
4.074322743,-2.040238655,128,36:01.9
4.074322743,-2.040238655,128,36:01.9
4.07124546,-2.037161372,128,36:01.9
4.07124546,-2.037161372,128,36:01.9
4.07124546,-2.031006806,128,36:01.9
4.07124546,-2.031006806,128,36:01.9
4.074322743,-2.027929523,128,36:01.9
4.074322743,-2.027929523,128,36:01.9
4.074322743,-2.027929523,128,36:01.9
4.077400026,-2.034084089,128,36:01.9
4.077400026,-2.034084089,128,36:01.9
4.080477309,-2.031006806,128,36:01.9
4.080477309,-2.031006806,128,36:01.9
4.083554593,-2.031006806,128,36:01.9
4.083554593,-2.031006806,128,36:01.9
4.077400026,-2.031006806,128,36:01.9
4.077400026,-2.031006806,128,36:01.9
4.074322743,-2.037161372,128,36:01.9
4.074322743,-2.037161372,128,36:01.9
4.074322743,-2.034084089,128,36:01.9
4.074322743,-2.034084089,128,36:01.9
4.077400026,-2.031006806,128,36:01.9
4.077400026,-2.031006806,128,36:01.9
4.080477309,-2.034084089,128,36:01.9
4.080477309,-2.034084089,128,36:01.9
4.080477309,-2.037161372,128,36:01.9
4.080477309,-2.037161372,128,36:01.9
4.095863725,-2.043315938,128,36:01.9
4.095863725,-2.043315938,128,36:01.9
4.080477309,-2.037161372,128,36:01.9
4.080477309,-2.037161372,128,36:01.9
4.062013611,-2.034084089,128,36:01.9
4.062013611,-2.034084089,128,36:01.9
4.068168177,-2.05562507,128,36:01.9
4.068168177,-2.05562507,128,36:01.9
4.068168177,-2.058702353,128,36:01.9
4.068168177,-2.058702353,128,36:01.9
4.080477309,-2.031006806,128,36:01.9
4.080477309,-2.031006806,128,36:01.9
4.089709159,-2.02485224,128,36:01.9
4.089709159,-2.02485224,128,36:01.9
4.098941008,-2.031006806,128,36:01.9
4.098941008,-2.031006806,128,36:01.9
4.068168177,-2.037161372,128,36:01.9
4.068168177,-2.037161372,128,36:01.9
4.062013611,-2.037161372,128,36:02.0
4.062013611,-2.037161372,128,36:02.0
4.074322743,-2.034084089,128,36:02.0
4.074322743,-2.034084089,128,36:02.0
